date,sell_quantity,sell_value,buy_quantity,buy_value,daily_balance,inventory,avg_temperature,precipitation,incc,fuel_price,is_holiday,no_sales,price_margin,rolling_mean_sell_value,rolling_mean_buy_value,rolling_std_sell_value,sell_quantity_lag_1,sell_quantity_lag_7,inventory_lag_1,avg_inventory_rolling,inventory_turnover,avg_sell_quantity_last_7d,sell_value_pct_change,buy_value_pct_change,is_moderate_rain,is_heavy_rain,precip_bin,temperature_bin,month,is_weekend,quarter,days_until_holiday,fuel_price_lag_30,fuel_price_lag_60,rolling_mean_fuel_price,fuel_price_pct_change,fuel_price_vs_buy_value,incc_lag_month,incc_lag_2_month,incc_monthly_change,sell_value_pct_vs_incc,sell_quantity_log,temperature_bin_encoded,preciptation_bin_encoded
2024-06-26,188.0,37.01,280.0,28.72,92,724,22.0,0.0,0.0070999999999999,5.99,0,0,1.2886490250696379,36.723333333333336,30.173333333333332,0.40501028793517574,88.0,188.0,632.0,761.4285714285714,0.29746835395970195,109.28571428571429,0.0029810298102981303,-0.07055016181229767,0,0,no rain,optimal,6,False,2,13.0,5.98,6.0,5.99,0.0,0.07055016181229767,0.0086,0.0052,-0.0015000000000001002,-0.0041189701897017695,5.241747015059643,1,0
2024-06-27,138.0,36.32,200.0,28.26,62,786,20.9,0.0,0.0070999999999999,5.99,0,0,1.2852087756546355,36.74333333333334,29.293333333333333,0.370720020140987,188.0,71.0,724.0,791.1428571428571,0.1906077345433595,118.85714285714286,-0.018643609835179653,-0.016016713091921875,0,0,no rain,optimal,6,False,2,12.0,5.98,5.99,5.99,0.0,0.016016713091921875,0.0086,0.0052,-0.0015000000000001002,-0.02574360983517955,4.9344739331306915,1,0
2024-06-28,103.0,35.8,240.0,28.26,137,923,21.2,0.0,0.0070999999999999,5.99,0,0,1.2668082094833686,36.37666666666667,28.413333333333338,0.6069870948655622,138.0,246.0,786.0,795.5714285714286,0.13104325683073378,98.42857142857143,-0.014317180616740144,0.0,0,0,no rain,optimal,6,False,2,11.0,5.98,5.99,5.99,0.0,0.0,0.0086,0.0052,-0.0015000000000001002,-0.021417180616740042,4.6443908991413725,1,0
2024-06-29,15.0,36.23,0.0,28.26,-15,908,22.4,0.0,0.0070999999999999,5.99,0,0,1.2820240622788392,36.11666666666667,28.26,0.27790885796126763,103.0,0.0,923.0,797.8571428571429,0.016251354261916193,100.57142857142857,0.012011173184357515,0.0,0,0,no rain,optimal,6,True,2,10.0,5.98,5.99,5.99,0.0,0.0,0.0086,0.0052,-0.0015000000000001002,0.0049111731843576156,2.772588722239781,1,0
2024-06-30,0.0,,0.0,28.26,0,908,18.0,2.8,0.0070999999999999,5.99,0,1,,36.015,28.26,,15.0,0.0,908.0,800.1428571428571,0.0,100.57142857142857,0.0,0.0,1,0,moderate,optimal,6,True,2,9.0,5.98,5.99,5.99,0.0,0.0,0.0086,0.0086,-0.0015000000000001002,-0.0070999999999999,0.0,1,2
2024-07-01,163.0,36.18,240.0,28.26,77,985,13.7,5.2,0.0072,5.99,0,0,1.2802547770700636,36.205000000000005,28.26,,0.0,172.0,908.0,838.0,0.17951541830449844,99.28571428571429,-0.0013800717637316717,0.0,1,0,moderate,optimal,7,False,3,8.0,5.98,5.99,5.99,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.008580071763731672,5.099866427824199,1,2
2024-07-02,182.0,32.05,0.0,28.26,-182,803,17.0,0.0,0.0072,5.99,0,0,1.1341118188251944,34.11500000000001,28.26,,163.0,88.0,985.0,862.4285714285714,0.18477157341647557,112.71428571428571,-0.11415146489773365,0.0,0,0,no rain,optimal,7,False,3,7.0,5.96,5.99,5.99,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.12135146489773364,5.209486152841421,1,0
2024-07-03,85.0,37.44,280.0,28.72,195,998,20.7,0.0,0.0072,5.99,0,0,1.3036211699164346,35.223333333333336,28.41333333333333,2.8194739462058056,182.0,188.0,803.0,901.5714285714286,0.10585305092670853,98.0,0.16817472698907965,0.016277423920735945,0,0,no rain,optimal,7,False,3,6.0,5.96,5.99,5.99,0.0,-0.016277423920735945,0.0070999999999999,0.0086,0.00010000000000010001,0.16097472698907964,4.454347296253507,1,0
2024-07-04,165.0,36.8,0.0,28.72,-165,833,22.3,0.0,0.0072,5.99,0,0,1.2813370473537604,35.43,28.566666666666666,2.9446052366998208,85.0,138.0,998.0,908.2857142857143,0.1653306611569833,101.85714285714286,-0.017094017094017144,0.0,0,0,no rain,optimal,7,False,3,5.0,5.96,5.99,5.99,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.024294017094017142,5.111987788356544,1,0
2024-07-05,140.0,36.69,0.0,28.72,-140,693,21.4,0.0,0.0072,5.99,0,0,1.2775069637883008,36.97666666666667,28.72,0.4050102879352089,165.0,103.0,833.0,875.4285714285714,0.16806722668899493,107.14285714285714,-0.00298913043478255,0.0,0,0,no rain,optimal,7,False,3,4.0,5.96,5.99,5.99,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.01018913043478255,4.948759890378168,1,0
2024-07-06,2.0,38.9,200.0,28.26,198,891,20.3,0.0,0.0072,5.99,0,0,1.376503892427459,37.46333333333334,28.566666666666663,1.2454048873090917,140.0,15.0,693.0,873.0,0.0028860028818383796,105.28571428571429,0.06023439629326788,-0.016016713091921875,0,0,no rain,optimal,7,True,3,3.0,5.96,5.99,5.99,0.0,0.016016713091921875,0.0070999999999999,0.0086,0.00010000000000010001,0.05303439629326788,1.0986122886681098,1,0
2024-07-07,0.0,,0.0,28.26,0,891,20.7,0.0,0.0072,6.01,0,1,,37.795,28.41333333333333,,2.0,0.0,891.0,870.5714285714286,0.0,105.28571428571429,0.0,0.0,0,0,no rain,optimal,7,True,3,2.0,5.96,5.99,5.996666666666667,0.0033388981636059967,0.0033388981636059967,0.0070999999999999,0.0086,0.00010000000000010001,-0.0072,0.0,1,0
2024-07-08,35.0,40.1,0.0,28.26,-35,856,19.1,5.0,0.0072,6.01,0,0,1.418966737438075,39.50000000000001,28.26,,0.0,163.0,891.0,852.1428571428571,0.039281705904285404,87.0,0.03084832904884327,0.0,1,0,moderate,optimal,7,False,3,1.0,5.96,5.99,6.003333333333333,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,0.023648329048843272,3.58351893845611,1,2
2024-07-09,0.0,,0.0,28.26,0,856,13.9,26.3,0.0072,6.01,1,1,,40.1,28.26,,35.0,182.0,856.0,859.7142857142857,0.0,61.0,0.0,0.0,0,1,heavy,optimal,7,False,3,0.0,6.0,5.99,6.01,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.0072,0.0,1,3
2024-07-10,91.0,36.24,280.0,32.1,189,1045,16.5,2.0,0.0072,6.01,0,0,1.1289719626168224,38.17000000000001,29.540000000000003,,0.0,85.0,856.0,866.4285714285714,0.1063084110907612,61.857142857142854,-0.09625935162094756,0.13588110403397025,0,0,light,optimal,7,False,3,22.0,6.0,5.99,6.01,0.0,-0.13588110403397025,0.0070999999999999,0.0086,0.00010000000000010001,-0.10345935162094756,4.5217885770490405,1,1
2024-07-11,249.0,36.13,0.0,32.1,-249,796,20.5,0.0,0.0072,6.01,0,0,1.1255451713395639,36.18500000000001,30.820000000000004,,91.0,165.0,1045.0,861.1428571428571,0.2382775117337057,73.85714285714286,-0.0030353200883002085,0.0,0,0,no rain,optimal,7,False,3,21.0,6.0,5.99,6.01,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.010235320088300208,5.521460917862246,1,0
2024-07-12,115.0,36.94,74.0,32.1,-41,755,20.2,0.0,0.0072,6.01,0,0,1.1507788161993768,36.436666666666675,32.1,0.43935558871297575,249.0,140.0,796.0,870.0,0.14447236162754729,70.28571428571429,0.02241904234707981,0.0,0,0,no rain,optimal,7,False,3,20.0,6.0,5.99,6.01,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,0.01521904234707981,4.7535901911063645,1,0
2024-07-13,20.0,36.5,0.0,32.1,-20,735,18.6,0.0,0.0072,6.01,0,0,1.1370716510903427,36.52333333333334,32.1,0.40550380187284035,115.0,2.0,755.0,847.7142857142857,0.026490066190079382,72.85714285714286,-0.011911207363291765,0.0,0,0,no rain,optimal,7,True,3,19.0,6.0,5.99,6.01,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.019111207363291763,3.044522437723423,1,0
2024-07-14,0.0,,0.0,32.1,0,735,19.7,0.0,0.0072,6.03,0,1,,36.720000000000006,32.1,,20.0,0.0,735.0,825.4285714285714,0.0,72.85714285714286,0.0,0.0,0,0,no rain,optimal,7,True,3,18.0,6.0,5.99,6.016666666666667,0.0033277870216306127,0.0033277870216306127,0.0070999999999999,0.0086,0.00010000000000010001,-0.0072,0.0,1,0
2024-07-15,103.0,36.27,0.0,32.1,-103,632,19.1,0.0,0.0072,6.03,0,0,1.1299065420560748,36.385000000000005,32.1,,0.0,35.0,735.0,793.4285714285714,0.14013605423110742,82.57142857142857,-0.006301369863013662,0.0,0,0,no rain,optimal,7,False,3,17.0,6.0,5.99,6.023333333333333,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.013501369863013661,4.6443908991413725,1,0
2024-07-16,30.0,34.9,0.0,32.1,-30,602,18.6,0.0,0.0072,6.03,0,0,1.087227414330218,35.58500000000001,32.1,,103.0,0.0,632.0,757.1428571428571,0.047468354355271594,86.85714285714286,-0.037772263578715326,0.0,0,0,no rain,optimal,7,False,3,16.0,6.0,5.99,6.03,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.044972263578715324,3.4339872044851463,1,0
2024-07-17,155.0,36.94,280.0,29.91,125,727,19.3,0.0,0.0072,6.03,0,0,1.2350384486793713,36.03666666666667,31.370000000000005,1.0398237030060997,30.0,91.0,602.0,711.7142857142857,0.25747508262877894,96.0,0.05845272206303731,-0.0682242990654206,0,0,no rain,optimal,7,False,3,15.0,6.0,5.99,6.03,0.0,0.0682242990654206,0.0070999999999999,0.0086,0.00010000000000010001,0.05125272206303731,5.049856007249537,1,0
2024-07-18,365.0,35.6,240.0,29.54,-125,602,20.7,0.0,0.0072,6.03,0,0,1.2051455653351388,35.81333333333333,30.51666666666667,1.0365969965870592,155.0,249.0,727.0,684.0,0.5020632730370519,112.57142857142857,-0.03627504060638864,-0.01237044466733539,0,0,no rain,optimal,7,False,3,14.0,6.0,5.97,6.03,0.0,0.01237044466733539,0.0070999999999999,0.0086,0.00010000000000010001,-0.04347504060638864,5.902633333401366,1,0
2024-07-19,213.0,36.98,360.0,29.91,147,749,19.3,0.0,0.0072,6.03,0,0,1.236375794048813,36.50666666666667,29.786666666666672,0.7854510381515344,365.0,115.0,602.0,683.1428571428571,0.35382059741890265,126.57142857142857,0.03876404494382002,0.012525389302640466,0,0,no rain,optimal,7,False,3,13.0,6.0,5.97,6.03,0.0,-0.012525389302640466,0.0070999999999999,0.0086,0.00010000000000010001,0.03156404494382002,5.365976015021851,1,0
2024-07-20,2.0,33.9,0.0,29.91,-2,747,18.7,0.0,0.0072,6.03,0,0,1.1334002006018054,35.49333333333334,29.786666666666672,1.5427680750304977,213.0,20.0,749.0,684.8571428571429,0.002670226965727334,124.0,-0.08328826392644673,0.0,0,0,no rain,optimal,7,True,3,12.0,6.0,5.97,6.03,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.09048826392644672,1.0986122886681098,1,0
2024-07-21,0.0,,0.0,29.91,0,747,18.8,0.0,0.0072,6.05,0,1,,35.44000000000001,29.91,,2.0,0.0,747.0,686.5714285714286,0.0,124.0,0.0,0.0,0,0,no rain,optimal,7,True,3,11.0,6.0,5.97,6.036666666666666,0.0033167495854062867,0.0033167495854062867,0.0070999999999999,0.0086,0.00010000000000010001,-0.0072,0.0,1,0
2024-07-22,112.0,37.16,200.0,29.54,88,835,20.6,0.0,0.0072,6.05,0,0,1.2579553148273526,35.53,29.786666666666672,,0.0,103.0,747.0,715.5714285714286,0.1499330653950026,125.28571428571429,0.09616519174041294,-0.01237044466733539,0,0,no rain,optimal,7,False,3,10.0,6.0,5.97,6.043333333333333,0.0,0.01237044466733539,0.0070999999999999,0.0086,0.00010000000000010001,0.08896519174041294,4.727387818712341,1,0
2024-07-23,277.0,35.84,0.0,29.54,-277,558,20.0,0.0,0.0072,6.05,0,0,1.2132701421800949,36.50000000000001,29.663333333333338,,112.0,30.0,835.0,709.2857142857143,0.3317365265488185,160.57142857142858,-0.03552206673842828,0.0,0,0,no rain,optimal,7,False,3,9.0,5.99,5.97,6.05,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,-0.04272206673842828,5.627621113690637,1,0
2024-07-24,343.0,35.24,240.0,27.77,-103,455,20.3,0.0,0.0072,6.05,0,0,1.268995318689233,36.080000000000005,28.950000000000003,0.9822423326246795,277.0,155.0,558.0,670.4285714285714,0.6146953394001876,187.42857142857142,-0.016741071428571508,-0.059918754231550464,0,0,no rain,optimal,7,False,3,8.0,5.99,5.97,6.05,0.0,0.059918754231550464,0.0070999999999999,0.0086,0.00010000000000010001,-0.023941071428571506,5.840641657373398,1,0
2024-07-25,182.0,35.6,240.0,27.77,58,513,21.0,0.0,0.0072,6.05,0,0,1.2819589485055816,35.56000000000001,28.360000000000003,0.3019933774107725,343.0,365.0,455.0,657.7142857142857,0.39999999912087914,161.28571428571428,0.010215664018161208,0.0,0,0,no rain,optimal,7,False,3,7.0,5.99,5.98,6.05,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,0.003015664018161208,5.209486152841421,1,0
2024-07-26,62.0,35.4,280.0,28.13,218,731,21.2,0.0,0.0072,6.05,0,0,1.2584429434767153,35.413333333333334,27.89,0.18036999011280816,182.0,213.0,513.0,655.1428571428571,0.12085769956947817,139.71428571428572,-0.005617977528090012,0.012963629816348465,0,0,no rain,optimal,7,False,3,6.0,5.99,5.98,6.05,0.0,-0.012963629816348465,0.0070999999999999,0.0086,0.00010000000000010001,-0.012817977528090012,4.143134726391533,1,0
2024-07-27,46.0,36.62,0.0,28.13,-46,685,21.5,0.0,0.0072,6.05,0,0,1.301813011020263,35.873333333333335,28.01,0.6543189843901116,62.0,2.0,731.0,646.2857142857143,0.06292749649394323,146.0,0.03446327683615813,0.0,0,0,no rain,optimal,7,True,3,5.0,5.99,5.98,6.05,0.0,0.0,0.0070999999999999,0.0086,0.00010000000000010001,0.027263276836158132,3.8501476017100584,1,0
