,date,incc
303,2024-10-30,0.0068000000000000005
304,2024-10-31,0.0068000000000000005
305,2024-11-01,0.004
306,2024-11-02,0.004
307,2024-11-03,0.004
308,2024-11-04,0.004
309,2024-11-05,0.004
310,2024-11-06,0.004
311,2024-11-07,0.004
312,2024-11-08,0.004
313,2024-11-09,0.004
314,2024-11-10,0.004
315,2024-11-11,0.004
316,2024-11-12,0.004
317,2024-11-13,0.004
318,2024-11-14,0.004
319,2024-11-15,0.004
320,2024-11-16,0.004
321,2024-11-17,0.004
322,2024-11-18,0.004
323,2024-11-19,0.004
324,2024-11-20,0.004
325,2024-11-21,0.004
326,2024-11-22,0.004
327,2024-11-23,0.004
328,2024-11-24,0.004
329,2024-11-25,0.004
330,2024-11-26,0.004
331,2024-11-27,0.004
332,2024-11-28,0.004
333,2024-11-29,0.004
334,2024-11-30,0.004
335,2024-12-01,0.005
336,2024-12-02,0.005
337,2024-12-03,0.005
338,2024-12-04,0.005
339,2024-12-05,0.005
340,2024-12-06,0.005
341,2024-12-07,0.005
342,2024-12-08,0.005
343,2024-12-09,0.005
344,2024-12-10,0.005
345,2024-12-11,0.005
346,2024-12-12,0.005
347,2024-12-13,0.005
348,2024-12-14,0.005
349,2024-12-15,0.005
350,2024-12-16,0.005
351,2024-12-17,0.005
352,2024-12-18,0.005
353,2024-12-19,0.005
354,2024-12-20,0.005
355,2024-12-21,0.005
356,2024-12-22,0.005
357,2024-12-23,0.005
358,2024-12-24,0.005
359,2024-12-25,0.005
360,2024-12-26,0.005
361,2024-12-27,0.005
362,2024-12-28,0.005
363,2024-12-29,0.005
364,2024-12-30,0.005
365,2024-12-31,0.005
366,2025-01-01,0.0083
367,2025-01-02,0.0083
368,2025-01-03,0.0083
369,2025-01-04,0.0083
370,2025-01-05,0.0083
371,2025-01-06,0.0083
372,2025-01-07,0.0083
373,2025-01-08,0.0083
374,2025-01-09,0.0083
375,2025-01-10,0.0083
376,2025-01-11,0.0083
377,2025-01-12,0.0083
378,2025-01-13,0.0083
379,2025-01-14,0.0083
380,2025-01-15,0.0083
381,2025-01-16,0.0083
382,2025-01-17,0.0083
383,2025-01-18,0.0083
384,2025-01-19,0.0083
385,2025-01-20,0.0083
386,2025-01-21,0.0083
387,2025-01-22,0.0083
388,2025-01-23,0.0083
389,2025-01-24,0.0083
390,2025-01-25,0.0083
391,2025-01-26,0.0083
392,2025-01-27,0.0083
393,2025-01-28,0.0083
394,2025-01-29,0.0083
395,2025-01-30,0.0083
396,2025-01-31,0.0083
397,2025-02-01,0.004
398,2025-02-02,0.004
399,2025-02-03,0.004
400,2025-02-04,0.004
401,2025-02-05,0.004
402,2025-02-06,0.004
403,2025-02-07,0.004
404,2025-02-08,0.004
405,2025-02-09,0.004
406,2025-02-10,0.004
407,2025-02-11,0.004
408,2025-02-12,0.004
409,2025-02-13,0.004
410,2025-02-14,0.004
411,2025-02-15,0.004
412,2025-02-16,0.004
413,2025-02-17,0.004
414,2025-02-18,0.004
415,2025-02-19,0.004
416,2025-02-20,0.004
417,2025-02-21,0.004
418,2025-02-22,0.004
419,2025-02-23,0.004
420,2025-02-24,0.004
421,2025-02-25,0.004
422,2025-02-26,0.004
423,2025-02-27,0.004
424,2025-02-28,0.004
425,2025-03-01,0.0039000000000000003
426,2025-03-02,0.0039000000000000003
427,2025-03-03,0.0039000000000000003
428,2025-03-04,0.0039000000000000003
429,2025-03-05,0.0039000000000000003
430,2025-03-06,0.0039000000000000003
431,2025-03-07,0.0039000000000000003
432,2025-03-08,0.0039000000000000003
433,2025-03-09,0.0039000000000000003
434,2025-03-10,0.0039000000000000003
435,2025-03-11,0.0039000000000000003
436,2025-03-12,0.0039000000000000003
437,2025-03-13,0.0039000000000000003
438,2025-03-14,0.0039000000000000003
439,2025-03-15,0.0039000000000000003
440,2025-03-16,0.0039000000000000003
441,2025-03-17,0.0039000000000000003
442,2025-03-18,0.0039000000000000003
443,2025-03-19,0.0039000000000000003
444,2025-03-20,0.0039000000000000003
445,2025-03-21,0.0039000000000000003
446,2025-03-22,0.0039000000000000003
447,2025-03-23,0.0039000000000000003
448,2025-03-24,0.0039000000000000003
