,date,fuel_price
323,2024-11-19,6.08
324,2024-11-20,6.08
325,2024-11-21,6.08
326,2024-11-22,6.08
327,2024-11-23,6.08
328,2024-11-24,6.09
329,2024-11-25,6.09
330,2024-11-26,6.09
331,2024-11-27,6.09
332,2024-11-28,6.09
333,2024-11-29,6.09
334,2024-11-30,6.09
335,2024-12-01,6.11
336,2024-12-02,6.11
337,2024-12-03,6.11
338,2024-12-04,6.11
339,2024-12-05,6.11
340,2024-12-06,6.11
341,2024-12-07,6.11
342,2024-12-08,6.12
343,2024-12-09,6.12
344,2024-12-10,6.12
345,2024-12-11,6.12
346,2024-12-12,6.12
347,2024-12-13,6.12
348,2024-12-14,6.12
349,2024-12-15,6.09
350,2024-12-16,6.09
351,2024-12-17,6.09
352,2024-12-18,6.09
353,2024-12-19,6.09
354,2024-12-20,6.09
355,2024-12-21,6.09
356,2024-12-22,6.13
357,2024-12-23,6.13
358,2024-12-24,6.13
359,2024-12-25,6.13
360,2024-12-26,6.13
361,2024-12-27,6.13
362,2024-12-28,6.13
363,2024-12-29,6.12
364,2024-12-30,6.12
365,2024-12-31,6.12
366,2025-01-01,6.12
367,2025-01-02,6.12
368,2025-01-03,6.12
369,2025-01-04,6.12
370,2025-01-05,6.14
371,2025-01-06,6.14
372,2025-01-07,6.14
373,2025-01-08,6.14
374,2025-01-09,6.14
375,2025-01-10,6.14
376,2025-01-11,6.14
377,2025-01-12,6.13
378,2025-01-13,6.13
379,2025-01-14,6.13
380,2025-01-15,6.13
381,2025-01-16,6.13
382,2025-01-17,6.13
383,2025-01-18,6.13
384,2025-01-19,6.17
385,2025-01-20,6.17
386,2025-01-21,6.17
387,2025-01-22,6.17
388,2025-01-23,6.17
389,2025-01-24,6.17
390,2025-01-25,6.17
391,2025-01-26,6.16
392,2025-01-27,6.16
393,2025-01-28,6.16
394,2025-01-29,6.16
395,2025-01-30,6.16
396,2025-01-31,6.16
397,2025-02-01,6.16
398,2025-02-02,6.43
399,2025-02-03,6.43
400,2025-02-04,6.43
401,2025-02-05,6.43
402,2025-02-06,6.43
403,2025-02-07,6.43
404,2025-02-08,6.43
405,2025-02-09,6.46
406,2025-02-10,6.46
407,2025-02-11,6.46
408,2025-02-12,6.46
409,2025-02-13,6.46
410,2025-02-14,6.46
411,2025-02-15,6.46
412,2025-02-16,6.45
413,2025-02-17,6.45
414,2025-02-18,6.45
415,2025-02-19,6.45
416,2025-02-20,6.45
417,2025-02-21,6.45
418,2025-02-22,6.45
419,2025-02-23,6.46
420,2025-02-24,6.46
421,2025-02-25,6.46
422,2025-02-26,6.46
423,2025-02-27,6.46
424,2025-02-28,6.46
425,2025-03-01,6.46
426,2025-03-02,6.43
427,2025-03-03,6.43
428,2025-03-04,6.43
429,2025-03-05,6.43
430,2025-03-06,6.43
431,2025-03-07,6.43
432,2025-03-08,6.43
433,2025-03-09,6.45
434,2025-03-10,6.45
435,2025-03-11,6.45
436,2025-03-12,6.45
437,2025-03-13,6.45
438,2025-03-14,6.45
439,2025-03-15,6.45
440,2025-03-16,6.46
441,2025-03-17,6.46
442,2025-03-18,6.46
443,2025-03-19,6.46
444,2025-03-20,6.46
445,2025-03-21,6.46
446,2025-03-22,6.46
447,2025-03-23,6.44
448,2025-03-24,6.44
449,2025-03-25,6.44
450,2025-03-26,6.44
451,2025-03-27,6.44
452,2025-03-28,6.44
453,2025-03-29,6.44
454,2025-03-30,6.42
455,2025-03-31,6.42
456,2025-04-01,6.42
457,2025-04-02,6.42
458,2025-04-03,6.42
459,2025-04-04,6.42
460,2025-04-05,6.42
461,2025-04-06,6.35
462,2025-04-07,6.35
463,2025-04-08,6.35
464,2025-04-09,6.35
465,2025-04-10,6.35
466,2025-04-11,6.35
467,2025-04-12,6.35
468,2025-04-13,6.34
469,2025-04-14,6.34
470,2025-04-15,6.34
471,2025-04-16,6.34
472,2025-04-17,6.34
473,2025-04-18,6.34
474,2025-04-19,6.34
475,2025-04-20,6.33
476,2025-04-21,6.33
477,2025-04-22,6.33
478,2025-04-23,6.33
479,2025-04-24,6.33
480,2025-04-25,6.33
481,2025-04-26,6.33
482,2025-04-27,6.29
483,2025-04-28,6.29
484,2025-04-29,6.29
485,2025-04-30,6.29
