time,tavg,prcp
2024-10-31,23.3,0.0
2024-11-01,24.5,1.4
2024-11-02,21.7,14.7
2024-11-03,22.3,23.8
2024-11-04,21.2,37.0
2024-11-05,22.5,20.1
2024-11-06,23.2,7.8
2024-11-07,21.8,28.4
2024-11-08,21.7,24.3
2024-11-09,22.4,0.1
2024-11-10,22.8,0.0
2024-11-11,24.2,0.0
2024-11-12,27.6,2.5
2024-11-13,21.5,17.1
2024-11-14,22.5,0.2
2024-11-15,23.0,8.7
2024-11-16,22.6,10.4
2024-11-17,23.5,0.0
2024-11-18,24.6,0.0
2024-11-19,26.1,0.0
2024-11-20,26.7,0.2
2024-11-21,26.1,0.7
2024-11-22,23.2,2.6
2024-11-23,24.0,0.1
2024-11-24,22.8,0.2
2024-11-25,24.0,0.0
2024-11-26,27.2,0.0
2024-11-27,28.4,0.0
2024-11-28,26.4,21.5
2024-11-29,23.5,7.8
2024-11-30,26.1,0.9
2024-12-01,27.2,0.2
2024-12-02,23.0,18.8
2024-12-03,22.5,45.2
2024-12-04,21.7,1.7
2024-12-05,22.7,15.6
2024-12-06,25.2,1.0
2024-12-07,27.2,0.0
2024-12-08,23.2,0.5
2024-12-09,23.9,6.8
2024-12-10,23.8,
2024-12-11,23.0,
2024-12-12,23.5,
2024-12-13,24.0,
2024-12-14,21.7,29.9
2024-12-15,24.7,10.0
2024-12-16,24.0,0.0
2024-12-17,24.2,0.0
2024-12-18,24.9,0.0
2024-12-19,25.5,0.0
2024-12-20,23.9,19.2
2024-12-21,22.7,33.7
2024-12-22,23.5,5.0
2024-12-23,24.4,1.3
2024-12-24,24.7,0.0
2024-12-25,23.9,12.2
2024-12-26,21.9,22.7
2024-12-27,24.4,12.9
2024-12-28,25.0,2.4
2024-12-29,23.0,1.4
2024-12-30,23.7,0.2
2024-12-31,24.7,0.0
2025-01-01,24.7,4.3
2025-01-02,24.5,2.9
2025-01-03,24.5,9.9
2025-01-04,23.6,5.8
2025-01-05,25.1,0.0
2025-01-06,25.5,0.0
2025-01-07,24.5,0.6
2025-01-08,24.4,0.9
2025-01-09,23.9,0.7
2025-01-10,24.0,0.0
2025-01-11,24.8,0.8
2025-01-12,24.0,8.0
2025-01-13,24.0,0.4
2025-01-14,23.6,0.0
2025-01-15,23.8,1.6
2025-01-16,23.1,35.2
2025-01-17,22.8,30.7
2025-01-18,25.3,1.5
2025-01-19,27.6,1.0
2025-01-20,25.9,0.0
2025-01-21,26.7,0.0
2025-01-22,26.7,0.2
2025-01-23,25.6,1.2
2025-01-24,25.0,2.2
2025-01-25,27.0,8.3
2025-01-26,26.1,7.8
2025-01-27,24.6,11.4
2025-01-28,23.5,7.0
2025-01-29,24.3,6.8
2025-01-30,24.0,8.7
2025-01-31,23.2,36.6
2025-02-01,23.3,30.8
2025-02-02,23.9,29.2
2025-02-03,23.1,17.0
2025-02-04,23.0,3.1
2025-02-05,23.8,3.6
2025-02-06,24.6,3.3
2025-02-07,24.9,12.3
2025-02-08,24.9,0.2
2025-02-09,25.4,0.0
2025-02-10,24.1,8.9
2025-02-11,25.5,0.0
2025-02-12,23.5,4.1
2025-02-13,24.5,3.4
2025-02-14,24.0,6.3
2025-02-15,25.9,1.2
2025-02-16,27.5,0.1
2025-02-17,27.5,0.0
2025-02-18,24.4,1.2
2025-02-19,25.7,0.9
2025-02-20,26.9,1.9
2025-02-21,26.5,2.8
2025-02-22,26.4,3.0
2025-02-23,26.6,0.1
2025-02-24,26.8,0.0
2025-02-25,25.6,0.0
2025-02-26,25.8,0.5
2025-02-27,26.9,0.0
2025-02-28,27.6,0.5
2025-03-01,27.3,0.0
2025-03-02,27.3,0.0
2025-03-03,27.6,0.0
2025-03-04,25.5,0.2
2025-03-05,25.9,0.4
2025-03-06,26.5,0.0
2025-03-07,25.9,0.0
2025-03-08,26.4,0.0
2025-03-09,27.8,0.0
2025-03-10,26.2,4.1
2025-03-11,24.5,4.6
2025-03-12,26.4,1.8
2025-03-13,26.1,0.0
2025-03-14,26.4,0.7
2025-03-15,25.8,
2025-03-16,24.6,
2025-03-17,24.0,
2025-03-18,24.2,
2025-03-19,22.8,
2025-03-20,22.8,
2025-03-21,22.6,
2025-03-22,24.4,2.0
2025-03-23,22.8,14.7
2025-03-24,23.5,3.2
2025-03-25,25.9,0.8
2025-03-26,23.3,8.2
2025-03-27,24.0,0.0
2025-03-28,24.2,0.3
2025-03-29,25.5,2.8
2025-03-30,24.6,4.7
2025-03-31,22.5,3.7
2025-04-01,24.0,0.0
2025-04-02,26.1,0.0
2025-04-03,25.5,8.5
2025-04-04,25.0,0.8
